,0,1,year,2,3,4,5
0,,Total,2017,,,,
1,,Number,2017,,,,
2,United States,645000,2017,,,,
3,Alabama,5700,2017,,,,
4,Alaska,400,2017,,,,
5,Arizona,Included in 1115,2017,,,,
6,Arkansas,5000,2017,,,,
7,California,37500,2017,,,,
8,Colorado,21400,2017,,,,
9,Connecticut,32500,2017,,,,
10,Delaware,Included in 1115,2017,,,,
11,District of Columbia,8600,2017,,,,
12,Florida,18700,2017,,,,
13,Georgia,7700,2017,,,,
14,Hawaii,Included in 1115,2017,,,,
15,Idaho,1800,2017,,,,
16,Illinois,13300,2017,,,,
17,Indiana,14300,2017,,,,
18,Iowa,22000,2017,,,,
19,Kansas,3400,2017,,,,
20,Kentucky,15000,2017,,,,
21,Louisiana,6800,2017,,,,
22,Maine,1700,2017,,,,
23,Maryland,4400,2017,,,,
24,Massachusetts,71300,2017,,,,
25,Michigan,3500,2017,,,,
26,Minnesota,32900,2017,,,,
27,Mississippi,1500,2017,,,,
28,Missouri,4700,2017,,,,
29,Montana,300,2017,,,,
30,Nebraska,1900,2017,,,,
31,Nevada,3600,2017,,,,
32,New Hampshire,1400,2017,,,,
33,New Jersey,44100,2017,,,,
34,New Mexico,700,2017,,,,
35,New York,101400,2017,,,,
36,North Carolina,22300,2017,,,,
37,North Dakota,1100,2017,,,,
38,Ohio,25600,2017,,,,
39,Oklahoma,3600,2017,,,,
40,Oregon,400,2017,,,,
41,Pennsylvania,26700,2017,,,,
42,Rhode Island,1700,2017,,,,
43,South Carolina,600,2017,,,,
44,South Dakota,11100,2017,,,,
45,Tennessee,10700,2017,,,,
46,Texas,25700,2017,,,,
47,Utah,2900,2017,,,,
48,Vermont,3700,2017,,,,
49,Virginia,1800,2017,,,,
50,Washington,5000,2017,,,,
51,West Virginia,8200,2017,,,,
52,Wisconsin,5600,2017,,,,
53,Wyoming,700,2017,,,,
54,Timeframe,Distribution,,Data Format,Geography,Type,Note
55,"Notes, Sources, and Definitions",,,,,,
56,any,,,,,Notes,"The three main Medicaid Home and Community-Based Services (HCBS) programs are as follows: (1) the mandatory home health services state plan benefit, (2) the optional personal care services state plan benefit, and (3) optional Section 1915(c) HCBS waivers.

For more information about Medicaid HCBS, please see [Medicaid HCBS Enrollment and Spending](https://www.kff.org/medicaid/issue-brief/medicaid-home-and-community-based-services-enrollment-and-spending/), [Key Questions About Medicaid HCBS Waiver Waiting Lists](https://www.kff.org/medicaid/issue-brief/key-questions-about-medicaid-home-and-community-based-services-waiver-waiting-lists/), and [Key State Policy Choices About Medicaid HCBS](https://www.kff.org/medicaid/issue-brief/key-state-policy-choices-about-medicaid-home-and-community-based-services/). 

Data may not sum to total due to rounding."
57,any,,,,,Sources,Kaiser Family Foundation analysis of Medicaid HCBS Program survey conducted in 2017.
58,any,,,,,Definitions,*Included in 1115*: A state was unable to report state plan services separately from Section 1115 waiver services.
59,Footnotes,,,,,,
60,any,Region,,,"California, Iowa, Nevada",Footnote,"California , Iowa, and Nevada enrollment numbers are from 2016."
61,any,Region,,,New Hampshire,Footnote,New Hampshire enrollment numbers are from 2015.
62,Formatting Specifications,,,,,,
63,any,,,,,Locked,no
